rank	document_post_id	document_title	content_words	content_chars	primary_process	primary_collection	category_names	tag_names	document_url
55	7792	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса С.Н. Радина	7768	53671	ПРОЦЕСС 2-12 МАРТА 1938 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия 1938	Правые	http://showtrials.ru/speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-protokola-doprosa-s-n-radina/
56	8725	Показания Н.И. Бухарина	7698	54103	ПРОЦЕСС 2-12 МАРТА 1938 г.	БУХАРИН	Материалы следствия 1938 | Бухарин	Правые | Бухарин	http://showtrials.ru/pokazaniya-n-i-buharina/
57	7517	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса Г.А. Молчанова	7579	49920	ПРОЦЕСС 2-12 МАРТА 1938 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия 1938	Правые	http://showtrials.ru/speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-protokola-doprosa-g-a-molchanova/
58	4583	Список лиц, арестованных по делу “террористической зиновьевской организации”	7546	54365	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	ДРУГИЕ ДОКУМЕНТЫ	Другие документы московского центра		http://showtrials.ru/spisok-licz-arestovannyh-po-delu-terroristicheskoj-zinovevskoj-organizaczii/
59	6762	Проект обвинительного заключения по делу “троцкистско-зиновьевского террористического центра”	7424	54006	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия 1936		http://showtrials.ru/proekt-obvinitelnogo-zaklyucheniya-po-delu-troczkistsko-zinovevskogo-terroristicheskogo-czentra/
60	5917	Заявление Ю.Л. Пятакова Народному комиссару внутренних дел СССР Н.И. Ежову	7379	50157	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия 1937	Группа Пятакова	http://showtrials.ru/zayavlenie-yu-l-pyatakova-narodnomu-komissaru-vnutrennih-del-sssr-n-i-ezhovu/
61	5800	Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением протокола допроса А.А. Шестова	7254	46881	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия 1937	Вредители в угольной промышленности | Группа Пятакова	http://showtrials.ru/speczsoobshhenie-g-g-yagody-i-v-stalinu-s-prilozheniem-protokola-doprosa-a-a-shestova/
62	5904	Спецсообщение Н.И. Ежова И.В. Сталину с приложением заявления К.Б. Радека о своей невиновности	7179	47264	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия 1937	Группа Радека	http://showtrials.ru/speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-zayavleniya-k-b-radeka-o-svoej-nevinovnosti/
63	5723	Закрытое письмо ЦК ВКП(б) от 29 июля 1936 г.	7110	51694	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	СПРАВКА	Материалы следствия 1936	Троцкистский центр | Зиновьевский центр	http://showtrials.ru/zakrytoe-pismo-czk-vkpb-ot-29-iyulya-1936-g/
64	6265	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса Л.С. Сосновского	7049	47930	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия 1937	Правые | Группа Радека	http://showtrials.ru/speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-protokola-doprosa-l-s-sosnovskogo/
65	4849	Справка по “Кремлевскому делу” для подготовки доклада Н.И. Ежова на июньском пленуме ЦК 1935 г. с выдержками из показаний обвиняемых	7010	49353	КРЕМЛЕВСКОЕ ДЕЛО	ДРУГИЕ ДОКУМЕНТЫ	Прочие документы		http://showtrials.ru/spravka-po-kremlevskomu-delu-dlya-podgotovki-doklada-n-i-ezhova-na-iyunskom-plenume-czk-1935-g-s-vyderzhkami-iz-pokazanij-obvinyaemyh/
66	7462	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса А.Д. Зайцева	7001	46557	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия 1937	Правые	http://showtrials.ru/speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-protokola-doprosa-a-d-zajczeva/
67	6550	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса М.А. Жарикова	6932	50121	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия 1937	Группа Пятакова	http://showtrials.ru/speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-protokola-doprosa-m-a-zharikova-2/
68	10713	Der Fall Valentin Olberg – неопубликованное открытое письмо К. Ландау П.К. Ольбергу о деле его сына	6846	46577	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	ОЛЬБЕРГ	Ольберг		http://showtrials.ru/der-fall-valentin-olberg-neopublikovannoe-otkrytoe-pismo-k-landau-p-k-olbergu-o-dele-ego-syna/
69	2485	ОТЧЕТ О ХОДЕ ПРОЦЕССА ПО МАТЕРИАЛАМ ГАЗЕТЫ “ПРАВДА”	6829	48440	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	ХОД ПРОЦЕССА	Стенограмма 1936		http://showtrials.ru/otchet-o-hode-proczessa-po-materialam-gazety-pravda/
70	8609	Протокол очной ставки между Н.И. Бухариным и Е.Ф. Куликовым в ЦК ВКП(б)	6804	42832	ПРОЦЕСС 2-12 МАРТА 1938 г.	БУХАРИН	Бухарин	Правые | Бухарин	http://showtrials.ru/protokol-ochnoj-stavki-mezhdu-n-i-buharinym-i-e-f-kulikovym-v-czk-vkpb/
71	9408	Протокол заседания комиссии по чистке парторганизации Коминтерна – Г.Б. Синани-Скалов	6711	43948	КРЕМЛЕВСКОЕ ДЕЛО	Г.Б. СИНАНИ-СКАЛОВ	Синани		http://showtrials.ru/protokol-zasedaniya-komissii-po-chistke-partorganizaczii-kominterna-g-b-sinani-skalov/
72	5879	Протокол допроса М.С. Строилова	6687	45255	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия 1937	Вредители в угольной промышленности	http://showtrials.ru/protokol-doprosa-m-s-stroilova-2/
73	5265	Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением заявления и тюремных записок Г.Е. Зиновьева	6596	42177	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	СПРАВКА	Материалы следствия 1936		http://showtrials.ru/speczsoobshhenie-g-g-yagody-i-v-stalinu-s-prilozheniem-zayavleniya-i-tyuremnyh-zapisok-g-e-zinoveva/
74	7214	Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением документов, найденных при обыске у Н.В. Комогорова	6540	48063	РАЗНЫЕ ДОКУМЕНТЫ	РАЗНЫЕ ДОКУМЕНТЫ	Разные документы		http://showtrials.ru/speczsoobshhenie-g-g-yagody-i-v-stalinu-s-prilozheniem-dokumentov-nadejnnyh-pri-obyske-u-n-v-komogorova/
75	5925	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса К.Б. Радека	6506	44301	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия 1937	Группа Радека	http://showtrials.ru/speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-protokola-doprosa-k-b-radeka-2/
76	7724	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса В.Г. Яковенко	6468	42554	ПРОЦЕСС 2-12 МАРТА 1938 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия 1938	Партизаны	http://showtrials.ru/speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-protokola-doprosa-v-g-yakovenko/
77	7787	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса А.Д. Зайцева	6394	46127	ПРОЦЕСС 2-12 МАРТА 1938 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия 1938	Правые	http://showtrials.ru/speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-protokola-doprosa-a-d-zajczeva-2/
78	8702	Протокол допроса Н.И. Бухарина	6338	42797	ПРОЦЕСС 2-12 МАРТА 1938 г.	БУХАРИН	Бухарин | Материалы следствия 1938	Бухарин | Правые	http://showtrials.ru/protokol-doprosa-n-i-buharina/
79	6316	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса И.Д. Турока	6321	45127	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия 1937	Вредители на железной дороге	http://showtrials.ru/speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-protokola-doprosa-i-d-turoka/
80	2487	ОТЧЕТ О ХОДЕ ПРОЦЕССА ПО МАТЕРИАЛАМ ГАЗЕТЫ THE NEW YORK TIMES	6258	38218	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	ХОД ПРОЦЕССА	Стенограмма 1936		http://showtrials.ru/otchet-o-hode-proczessa-po-materialam-gazety-the-new-york-times/
81	9431	Стенограмма заседания парткома ИККИ по вопросу о Г.Б. Синани-Скалове	6238	44377	КРЕМЛЕВСКОЕ ДЕЛО	Г.Б. СИНАНИ-СКАЛОВ	Синани		http://showtrials.ru/stenogramma-zasedaniya-partkoma-ikki-po-voprosu-o-g-b-sinani-skalove/
82	8621	Стенограмма очной ставки между К.Б. Радеком и Н.И. Бухариным в ЦК ВКП(б)	6169	38757	ПРОЦЕСС 2-12 МАРТА 1938 г.	БУХАРИН	Бухарин	Правые | Бухарин	http://showtrials.ru/stenogramma-ochnoj-stavki-mezhdu-k-b-radekom-i-n-i-buharinym-v-czk-vkpb/
83	7665	Заявление В.В. Шмидта И.В. Сталину и Н.И. Ежову	6062	41282	ПРОЦЕСС 2-12 МАРТА 1938 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия 1938	Правые	http://showtrials.ru/zayavlenie-v-v-shmidta-i-v-stalinu-i-n-i-ezhovu/
84	7878	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса В.Ф. Головина	5999	44167	ПРОЦЕСС 2-12 МАРТА 1938 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия 1938	Уральские троцкисты	http://showtrials.ru/speczsoobshhenie-n-i-ezhova-i-v-staltinu-s-prilozheniem-protokola-doprosa-v-f-golovina/
85	7627	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса П.К. Александрова	5994	40368	ПРОЦЕСС 2-12 МАРТА 1938 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия 1938	Правые	http://showtrials.ru/speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-protokola-doprosa-2/
86	6527	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса К.Б. Радека	5989	42087	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия 1937	Группа Радека | Параллельный центр	http://showtrials.ru/speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-protokola-doprosa-k-b-radeka-4/
87	7625	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса М.Г. Грольмана	5937	41518	ПРОЦЕСС 2-12 МАРТА 1938 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия 1938	Правые	http://showtrials.ru/speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-protokola-doprosa-m-g-grolmana/
88	5859	Протокол допроса В.А. Финашина	5929	39247	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия 1937	Вредители на железной дороге	http://showtrials.ru/protokol-doprosa-v-a-finashina/
89	4288	Выписка из стенографического отчета закрытого партсобрания редколлектива газеты “Известия” (выступления К.Б. Радека)	5918	37283	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	ДРУГИЕ ДОКУМЕНТЫ	Другие документы 1937		http://showtrials.ru/vypiska-iz-stenograficheskogo-otcheta-zakrytogo-partsobraniya-redkollektiva-gazety-izvestiya-vystupleniya-k-b-radeka/
90	5732	Спецсообщение Г.Г. Ягоды Н.И. Ежову с приложением протокола допроса С.М. Закса-Гладнева	5896	39536	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия 1936 | Материалы следствия 1937	Группа Радека	http://showtrials.ru/speczsoobshhenie-g-g-yagody-n-i-ezhovu-s-prilozheniem-protokola-doprosa-s-m-zaksa-gladneva/
91	7548	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса Л.Я. Любарского и выписки из протокола заседания бюро ГК ВКП(б) г. Шахты	5893	39952	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия 1937	Троцкисты Азово-Черноморского края	http://showtrials.ru/speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-protokola-doprosa-l-ya-lyubarskogo-i-vypiski-iz-protokola-zasedaniya-byuro-gk-vkpb-g-shahty/
92	5873	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса А.А. Шестова	5883	39110	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия 1937	Вредители в угольной промышленности	http://showtrials.ru/speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-protokola-doprosa-a-a-shestova/
93	5850	Протокол допроса Я.И. Зайдмана	5838	39321	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия 1937	Вредители в угольной промышленности	http://showtrials.ru/protokol-doprosa-ya-i-zajdmana/
94	5664	Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением протокола допроса Е.А. Дрейцера	5800	39699	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия 1936	Троцкистский центр	http://showtrials.ru/speczsoobshhenie-g-g-yagody-i-v-stalinu-s-prilozheniem-protokola-doprosa-e-a-drejczera-2/
95	7756	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса М.В. Бурштейна	5757	39371	ПРОЦЕСС 2-12 МАРТА 1938 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия 1938	Вредители на железной дороге	http://showtrials.ru/speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-protokola-doprosa-m-v-burshtejna/
96	4665	Список арестованных по состоянию на 20 января 1935 г.	5749	39800	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	ДРУГИЕ ДОКУМЕНТЫ	Другие документы московского центра		http://showtrials.ru/spisok-arestovannyh-po-sostoyaniyu-na-20-yanvarya-1935-g/
97	7644	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса Б.Г. Козелева	5746	41319	ПРОЦЕСС 2-12 МАРТА 1938 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия 1938		http://showtrials.ru/speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-protokola-doprosa-b-g-kozeleva-2/
98	5707	Спецсообщение Г.Г. Ягоды Н.И. Ежову с приложением протокола допроса А.Г. Пригожина	5727	38760	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия 1936 | Материалы следствия 1937	Группа историков | Группа Радека	http://showtrials.ru/speczsoobshhenie-g-g-yagody-n-i-ezhovu-s-prilozheniem-protokola-doprosa-a-g-prigozhina/
99	5916	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса С.Е. Эйдмана	5705	39553	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия 1937	Вредители на железной дороге	http://showtrials.ru/speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-protokola-doprosa-s-e-ejdmana/
100	5884	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса Н.Г. Ольховского	5687	39734	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия 1937	Уралвагонстрой	http://showtrials.ru/speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-protokola-doprosa-n-g-olhovskogo/
