organization	total_process_documents	process_count	process_kind_count	top_process	top_process_document_count	top_process_share	process_distribution	process_kind_distribution	interpretation_note
ВКП(б)	1397	8	4	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	395	0.2827	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:395 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:320 | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:216 | КРЕМЛЕВСКОЕ ДЕЛО:200 | ПРОЦЕСС 2-12 МАРТА 1938 г.:188 | ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:72 | РАЗНЫЕ ДОКУМЕНТЫ:4 | СТАТЬИ:2	major_show_trial:903 | related_case:488 | misc:4 | articles:2	process_profile_from_document_cooccurrence
ГУГБ	1296	8	4	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	346	0.267	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:346 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:265 | КРЕМЛЕВСКОЕ ДЕЛО:228 | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:192 | ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:133 | ПРОЦЕСС 2-12 МАРТА 1938 г.:128 | РАЗНЫЕ ДОКУМЕНТЫ:2 | СТАТЬИ:2	major_show_trial:739 | related_case:553 | misc:2 | articles:2	process_profile_from_document_cooccurrence
НКВД	915	8	4	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	254	0.2776	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:254 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:172 | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:168 | ПРОЦЕСС 2-12 МАРТА 1938 г.:116 | КРЕМЛЕВСКОЕ ДЕЛО:103 | ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:97 | РАЗНЫЕ ДОКУМЕНТЫ:3 | СТАТЬИ:2	major_show_trial:542 | related_case:368 | misc:3 | articles:2	process_profile_from_document_cooccurrence
ЦК ВКП(б)	869	8	4	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	311	0.3579	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:311 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:181 | ПРОЦЕСС 2-12 МАРТА 1938 г.:150 | КРЕМЛЕВСКОЕ ДЕЛО:100 | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:100 | ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:21 | РАЗНЫЕ ДОКУМЕНТЫ:4 | СТАТЬИ:2	major_show_trial:642 | related_case:221 | misc:4 | articles:2	process_profile_from_document_cooccurrence
Правда	328	9	5	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	100	0.3049	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:100 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:73 | ПРОЦЕСС 2-12 МАРТА 1938 г.:70 | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:39 | КРЕМЛЕВСКОЕ ДЕЛО:34 | ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:6 | РАЗНЫЕ ДОКУМЕНТЫ:2 | СТАТЬИ:2 | ТРОЦКИЙ:2	major_show_trial:243 | related_case:79 | misc:2 | articles:2 | person_dossier:2	process_profile_from_document_cooccurrence
Коминтерн	290	9	5	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	97	0.3345	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:97 | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:90 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:41 | ПРОЦЕСС 2-12 МАРТА 1938 г.:29 | КРЕМЛЕВСКОЕ ДЕЛО:21 | ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:7 | РАЗНЫЕ ДОКУМЕНТЫ:2 | СТАТЬИ:2 | ТРОЦКИЙ:1	major_show_trial:167 | related_case:118 | misc:2 | articles:2 | person_dossier:1	process_profile_from_document_cooccurrence
Политбюро	278	7	3	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	67	0.241	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:67 | ПРОЦЕСС 2-12 МАРТА 1938 г.:62 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:49 | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:44 | КРЕМЛЕВСКОЕ ДЕЛО:39 | ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:15 | СТАТЬИ:2	major_show_trial:178 | related_case:98 | articles:2	process_profile_from_document_cooccurrence
Совнарком	126	7	3	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	44	0.3492	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:44 | ПРОЦЕСС 2-12 МАРТА 1938 г.:38 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:18 | КРЕМЛЕВСКОЕ ДЕЛО:14 | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:10 | ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:1 | РАЗНЫЕ ДОКУМЕНТЫ:1	major_show_trial:100 | related_case:25 | misc:1	process_profile_from_document_cooccurrence
Известия	103	7	4	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	42	0.4078	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:42 | ПРОЦЕСС 2-12 МАРТА 1938 г.:29 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:19 | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:8 | КРЕМЛЕВСКОЕ ДЕЛО:2 | СТАТЬИ:2 | РАЗНЫЕ ДОКУМЕНТЫ:1	major_show_trial:90 | related_case:10 | articles:2 | misc:1	process_profile_from_document_cooccurrence
ЦИК СССР	82	7	3	КРЕМЛЕВСКОЕ ДЕЛО	49	0.5976	КРЕМЛЕВСКОЕ ДЕЛО:49 | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:8 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:7 | ПРОЦЕСС 2-12 МАРТА 1938 г.:7 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:7 | ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:2 | СТАТЬИ:2	related_case:59 | major_show_trial:21 | articles:2	process_profile_from_document_cooccurrence
ИККИ	76	7	3	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	20	0.2632	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:20 | КРЕМЛЕВСКОЕ ДЕЛО:17 | ПРОЦЕСС 2-12 МАРТА 1938 г.:17 | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:12 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:7 | СТАТЬИ:2 | ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:1	major_show_trial:44 | related_case:30 | articles:2	process_profile_from_document_cooccurrence
КПК	54	6	3	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	15	0.2778	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:15 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:13 | КРЕМЛЕВСКОЕ ДЕЛО:11 | ПРОЦЕСС 2-12 МАРТА 1938 г.:8 | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:6 | СТАТЬИ:1	major_show_trial:36 | related_case:17 | articles:1	process_profile_from_document_cooccurrence
ИНО ГУГБ	53	4	3	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	27	0.5094	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:27 | КРЕМЛЕВСКОЕ ДЕЛО:19 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:6 | СТАТЬИ:1	major_show_trial:33 | related_case:19 | articles:1	process_profile_from_document_cooccurrence
ОО ГУГБ НКВД	40	6	3	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	17	0.425	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:17 | ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:10 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:6 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:5 | КРЕМЛЕВСКОЕ ДЕЛО:1 | РАЗНЫЕ ДОКУМЕНТЫ:1	related_case:28 | major_show_trial:11 | misc:1	process_profile_from_document_cooccurrence
Верховный Суд СССР	33	7	3	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	14	0.4242	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:14 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:9 | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:4 | ПРОЦЕСС 2-12 МАРТА 1938 г.:2 | СТАТЬИ:2 | КРЕМЛЕВСКОЕ ДЕЛО:1 | ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:1	major_show_trial:25 | related_case:6 | articles:2	process_profile_from_document_cooccurrence
НКИД	28	5	2	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	12	0.4286	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:12 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:8 | КРЕМЛЕВСКОЕ ДЕЛО:3 | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:3 | ПРОЦЕСС 2-12 МАРТА 1938 г.:2	major_show_trial:22 | related_case:6	process_profile_from_document_cooccurrence
Секретариат ЦИК СССР	20	2	2	КРЕМЛЕВСКОЕ ДЕЛО	19	0.95	КРЕМЛЕВСКОЕ ДЕЛО:19 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	related_case:19 | major_show_trial:1	process_profile_from_document_cooccurrence
КПК при ЦК ВКП(б)	15	4	2	КРЕМЛЕВСКОЕ ДЕЛО	6	0.4	КРЕМЛЕВСКОЕ ДЕЛО:6 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:3 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:3 | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:3	related_case:9 | major_show_trial:6	process_profile_from_document_cooccurrence
Прокуратура СССР	10	3	3	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	8	0.8	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:8 | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:1 | СТАТЬИ:1	major_show_trial:8 | related_case:1 | articles:1	process_profile_from_document_cooccurrence
Горьковский крайком ВКП(б)	9	2	2	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	8	0.8889	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:8 | СТАТЬИ:1	major_show_trial:8 | articles:1	process_profile_from_document_cooccurrence
Лига Наций	5	5	3	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	0.2	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1 | ПРОЦЕСС 2-12 МАРТА 1938 г.:1 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1 | РАЗНЫЕ ДОКУМЕНТЫ:1 | СТАТЬИ:1	major_show_trial:3 | misc:1 | articles:1	process_profile_from_document_cooccurrence
The New York Times	1	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
United Press International	1	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
Верховный Совет СССР	1	1	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	1.0	ПРОЦЕСС 2-12 МАРТА 1938 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
Народная Трудовая Демократическая партия России	1	1	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	1.0	ПРОЦЕСС 2-12 МАРТА 1938 г.:1	major_show_trial:1	process_profile_from_document_cooccurrence
