source_ru	canonical_en	layer	glossary_kind	priority	source_count	status	confidence	historical_person_tier	review_reason	g3_action	g3_review_priority	g3_review_reason	g4_action	g4_confidence	g4_review_priority	g4_review_reason	person_document_count	person_organization_count	alias_count	process_distribution	notes
троцкист	Trotskyist	roles	political_label	medium	1357	approved	high	not_person	political_or_accusatory_label_review_recommended	role_note_enriched	medium	political_or_accusatory_label_semantic_review			medium	semantic_label_policy_review					Political label. Prefer 'Trotskyist'; keep as analytical/accusatory category, not neutral affiliation.
правый	Rightist	roles	political_label	medium	607	approved	high	not_person	political_or_accusatory_label_review_recommended	role_note_enriched	medium	political_or_accusatory_label_semantic_review			medium	semantic_label_policy_review					Political label. Prefer 'Rightist' in context of Soviet opposition terminology.
агент	agent	roles	accusatory_or_intelligence_label	medium	222	approved	high	not_person	political_or_accusatory_label_review_recommended	role_note_enriched	medium	political_or_accusatory_label_semantic_review			medium	semantic_label_policy_review					Ambiguous: can mean agent, operative, or accused foreign/intelligence agent depending on context.
вредитель	wrecker	roles	accusatory_label	medium	58	approved	high	not_person	political_or_accusatory_label_review_recommended	role_note_enriched	medium	political_or_accusatory_label_semantic_review			medium	semantic_label_policy_review					Accusatory Stalinist term. 'Wrecker' is historically conventional but should remain marked as accusatory.
Е.К. Мухановой	E.K. Mukhanov	people	person_name	medium	13	auto_normalized_needs_review	medium	tier2_unresolved	medium_priority_person_optional_review	auto_morphological_normalization	medium	person_10plus_docs_not_approved			medium	person_10plus_docs_unresolved	13	9	1	КРЕМЛЕВСКОЕ ДЕЛО:13	auto transliteration adjusted by common historical romanization rules
В.И. Звездова	V.I. Zvezdov	people	person_name	medium	9	auto_normalized_needs_review	medium	tier3_review_if_needed	medium_priority_person_optional_review	auto_morphological_normalization	low	person_5plus_docs_not_approved			low	person_5plus_docs_unresolved	9	4	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:9	automatic transliteration seed; human review recommended before production glossary
М.Ф. Шкирятову	M.F. Shkiryatov	people	person_name	medium	8	auto_normalized_needs_review	medium	tier3_review_if_needed	medium_priority_person_optional_review		low	person_5plus_docs_not_approved			low	person_5plus_docs_unresolved	8	11	2	КРЕМЛЕВСКОЕ ДЕЛО:7 | ПРОЦЕСС 2-12 МАРТА 1938 г.:1	auto transliteration adjusted by common historical romanization rules
С.М. Гессена	S.M. Hessen	people	person_name	medium	8	auto_normalized_needs_review	medium	tier3_review_if_needed	medium_priority_person_optional_review		low	person_5plus_docs_not_approved			low	person_5plus_docs_unresolved	8	6	2	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:8	auto transliteration adjusted by common historical romanization rules
А.И. Толмазова	A.I. Tolmazov	people	person_name	medium	8	auto_normalized_needs_review	medium	tier3_review_if_needed	medium_priority_person_optional_review	auto_morphological_normalization	low	person_5plus_docs_not_approved			low	person_5plus_docs_unresolved	8	2	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:8	automatic transliteration seed; human review recommended before production glossary
А.С. Куклина	A.S. Kuklin	people	person_name	medium	7	auto_normalized_needs_review	medium	tier3_review_if_needed	medium_priority_person_optional_review	auto_morphological_normalization	low	person_5plus_docs_not_approved			low	person_5plus_docs_unresolved	7	5	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:7	automatic transliteration seed; human review recommended before production glossary
М.В. Королькова	M.V. Korolkov	people	person_name	medium	7	auto_normalized_needs_review	medium	tier3_review_if_needed	medium_priority_person_optional_review	auto_morphological_normalization	low	person_5plus_docs_not_approved			low	person_5plus_docs_unresolved	7	5	1	КРЕМЛЕВСКОЕ ДЕЛО:7	automatic transliteration seed; human review recommended before production glossary
Л.Я. Файвиловича	L.Ya. Faivilovich	people	person_name	medium	6	auto_normalized_needs_review	medium	tier3_review_if_needed	medium_priority_person_optional_review	auto_morphological_normalization	low	person_5plus_docs_not_approved			low	person_5plus_docs_unresolved	7	4	2	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:6	automatic transliteration seed; human review recommended before production glossary
Е.Ф. Куликова	E.F. Kulikov	people	person_name	medium	6	auto_normalized_needs_review	medium	tier3_review_if_needed	medium_priority_person_optional_review	auto_morphological_normalization	low	person_5plus_docs_not_approved			low	person_5plus_docs_unresolved	6	7	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:5 | ПРОЦЕСС 2-12 МАРТА 1938 г.:1	automatic transliteration seed; human review recommended before production glossary
Д.А. Шмидта	D.A. Schmidt	people	person_name	medium	6	auto_normalized_needs_review	medium	tier3_review_if_needed	medium_priority_person_optional_review		low	person_5plus_docs_not_approved			low	person_5plus_docs_unresolved	6	6	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:6	auto transliteration adjusted by common historical romanization rules
Д.Н. Ширяева	D.N. Shiryaev	people	person_name	medium	6	auto_normalized_needs_review	medium	tier3_review_if_needed	medium_priority_person_optional_review	auto_morphological_normalization	low	person_5plus_docs_not_approved			low	person_5plus_docs_unresolved	6	6	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:6	automatic transliteration seed; human review recommended before production glossary
И.К. Наумова	I.K. Naumov	people	person_name	medium	6	auto_normalized_needs_review	medium	tier3_review_if_needed	medium_priority_person_optional_review	auto_morphological_normalization	low	person_5plus_docs_not_approved			low	person_5plus_docs_unresolved	6	6	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:6	automatic transliteration seed; human review recommended before production glossary
З.И. Давыдовой	Z.I. Davydova	people	person_name	medium	6	auto_normalized_needs_review	medium	tier3_review_if_needed	medium_priority_person_optional_review	auto_morphological_normalization	low	person_5plus_docs_not_approved			low	person_5plus_docs_unresolved	6	4	1	КРЕМЛЕВСКОЕ ДЕЛО:6	automatic transliteration seed; human review recommended before production glossary
И.М. Гуревича	I.M. Gurevich	people	person_name	medium	6	auto_normalized_needs_review	medium	tier3_review_if_needed	medium_priority_person_optional_review	auto_morphological_normalization	low	person_5plus_docs_not_approved			low	person_5plus_docs_unresolved	6	4	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:6	automatic transliteration seed; human review recommended before production glossary
А.Ф. Шараповой	A.F. Sharapov	people	person_name	medium	6	auto_normalized_needs_review	medium	tier3_review_if_needed	medium_priority_person_optional_review	auto_morphological_normalization	low	person_5plus_docs_not_approved			low	person_5plus_docs_unresolved	6	3	1	КРЕМЛЕВСКОЕ ДЕЛО:6	auto transliteration adjusted by common historical romanization rules
В.В. Глухенко	V.V. Glukhenko	people	person_name	medium	6	auto_transliterated_needs_review	medium	tier3_review_if_needed	medium_priority_person_optional_review		low	person_5plus_docs_not_approved			low	person_5plus_docs_unresolved	6	2	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:6	automatic transliteration seed; human review recommended before production glossary
В.А. Виноградова	V.A. Vinogradov	people	person_name	medium	6	auto_normalized_needs_review	medium	tier3_review_if_needed	medium_priority_person_optional_review	auto_morphological_normalization	low	person_5plus_docs_not_approved			low	person_5plus_docs_unresolved	6	1	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:6	automatic transliteration seed; human review recommended before production glossary
П.И. Бескиной	P.I. Beskina	people	person_name	medium	6	auto_normalized_needs_review	medium	tier3_review_if_needed	medium_priority_person_optional_review	auto_morphological_normalization	low	person_5plus_docs_not_approved			low	person_5plus_docs_unresolved	6	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:6	automatic transliteration seed; human review recommended before production glossary
А.Ю. Тивеля	A.Yu. Tivelya	people	person_name	medium	5	auto_transliterated_needs_review	medium	tier3_review_if_needed	medium_priority_person_optional_review		low	person_5plus_docs_not_approved			low	person_5plus_docs_unresolved	5	9	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:5	automatic transliteration seed; human review recommended before production glossary
А.Н. Слепкова	A.N. Slepkov	people	person_name	medium	5	auto_normalized_needs_review	medium	tier3_review_if_needed	medium_priority_person_optional_review	auto_morphological_normalization	low	person_5plus_docs_not_approved			low	person_5plus_docs_unresolved	5	8	1	ПРОЦЕСС 2-12 МАРТА 1938 г.:5	automatic transliteration seed; human review recommended before production glossary
А.А. Шестова	A.A. Shestov	people	person_name	medium	5	auto_normalized_needs_review	medium	tier3_review_if_needed	medium_priority_person_optional_review	auto_morphological_normalization	low	person_5plus_docs_not_approved			low	person_5plus_docs_unresolved	5	6	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:5	automatic transliteration seed; human review recommended before production glossary
А.П. Костиной	A.P. Kostina	people	person_name	medium	5	auto_normalized_needs_review	medium	tier3_review_if_needed	medium_priority_person_optional_review	auto_morphological_normalization	low	person_5plus_docs_not_approved			low	person_5plus_docs_unresolved	5	5	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:5	automatic transliteration seed; human review recommended before production glossary
Б.Н. Розенфельда	B.N. Rosenfeld	people	person_name	medium	5	auto_normalized_needs_review	medium	tier3_review_if_needed	medium_priority_person_optional_review		low	person_5plus_docs_not_approved	romanization_cleanup		low	person_5plus_docs_unresolved	5	5	2	КРЕМЛЕВСКОЕ ДЕЛО:5	automatic transliteration seed; human review recommended before production glossary
Л.Ф. Дитятевой	L.F. Dityateva	people	person_name	medium	5	auto_normalized_needs_review	medium	tier3_review_if_needed	medium_priority_person_optional_review	auto_morphological_normalization	low	person_5plus_docs_not_approved			low	person_5plus_docs_unresolved	5	5	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:4 | ПРОЦЕСС 2-12 МАРТА 1938 г.:1	automatic transliteration seed; human review recommended before production glossary
Н.Б. Розенфельда	N.B. Rosenfeld	people	person_name	medium	5	auto_normalized_needs_review	medium	tier3_review_if_needed	medium_priority_person_optional_review		low	person_5plus_docs_not_approved	romanization_cleanup		low	person_5plus_docs_unresolved	5	5	1	КРЕМЛЕВСКОЕ ДЕЛО:5	automatic transliteration seed; human review recommended before production glossary
А.Н. Сафоновой	A.N. Safonova	people	person_name	medium	5	auto_normalized_needs_review	medium	tier3_review_if_needed	medium_priority_person_optional_review	auto_morphological_normalization	low	person_5plus_docs_not_approved			low	person_5plus_docs_unresolved	5	4	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:5	automatic transliteration seed; human review recommended before production glossary
В.А. Яковлева	V.A. Yakovlev	people	person_name	medium	5	auto_normalized_needs_review	medium	tier3_review_if_needed	medium_priority_person_optional_review	auto_morphological_normalization	low	person_5plus_docs_not_approved			low	person_5plus_docs_unresolved	5	4	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:3 | ПРОЦЕСС 2-12 МАРТА 1938 г.:2	automatic transliteration seed; human review recommended before production glossary
В.И. Козырева	V.I. Kozyrev	people	person_name	medium	5	auto_normalized_needs_review	medium	tier3_review_if_needed	medium_priority_person_optional_review	auto_morphological_normalization	low	person_5plus_docs_not_approved			low	person_5plus_docs_unresolved	5	4	1	КРЕМЛЕВСКОЕ ДЕЛО:5	automatic transliteration seed; human review recommended before production glossary
И.С. Горшениным	I.S. Gorsheninym	people	person_name	medium	5	auto_transliterated_needs_review	medium	tier3_review_if_needed	medium_priority_person_optional_review		low	person_5plus_docs_not_approved			low	person_5plus_docs_unresolved	5	4	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:5	automatic transliteration seed; human review recommended before production glossary
М.В. Поздеевой	M.V. Pozdeeva	people	person_name	medium	5	auto_normalized_needs_review	medium	tier3_review_if_needed	medium_priority_person_optional_review	auto_morphological_normalization	low	person_5plus_docs_not_approved			low	person_5plus_docs_unresolved	5	4	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:4 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	automatic transliteration seed; human review recommended before production glossary
Я.В. Шарова	Ya.V. Sharov	people	person_name	medium	5	auto_normalized_needs_review	medium	tier3_review_if_needed	medium_priority_person_optional_review	auto_morphological_normalization	low	person_5plus_docs_not_approved			low	person_5plus_docs_unresolved	5	4	2	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:5	automatic transliteration seed; human review recommended before production glossary
А.В. Перимова	A.V. Perimov	people	person_name	medium	5	auto_normalized_needs_review	medium	tier3_review_if_needed	medium_priority_person_optional_review	auto_morphological_normalization	low	person_5plus_docs_not_approved			low	person_5plus_docs_unresolved	5	3	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:5	automatic transliteration seed; human review recommended before production glossary
М.С. Рэма	M.S. Rema	people	person_name	medium	5	auto_transliterated_needs_review	medium	tier3_review_if_needed	medium_priority_person_optional_review		low	person_5plus_docs_not_approved			low	person_5plus_docs_unresolved	5	3	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:5	automatic transliteration seed; human review recommended before production glossary
Я.С. Розанова	Ya.S. Rozanov	people	person_name	medium	5	auto_normalized_needs_review	medium	tier3_review_if_needed	medium_priority_person_optional_review	auto_morphological_normalization	low	person_5plus_docs_not_approved			low	person_5plus_docs_unresolved	5	2	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:5	automatic transliteration seed; human review recommended before production glossary
Г.В. Соколова	G.V. Sokolov	people	person_name	medium	5	auto_normalized_needs_review	medium	tier3_review_if_needed	medium_priority_person_optional_review	auto_morphological_normalization	low	person_5plus_docs_not_approved			low	person_5plus_docs_unresolved	5	1	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:5	automatic transliteration seed; human review recommended before production glossary
Н.А. Царькова	N.A. Tsarkov	people	person_name	medium	5	auto_normalized_needs_review	medium	tier3_review_if_needed	medium_priority_person_optional_review	auto_morphological_normalization	low	person_5plus_docs_not_approved			low	person_5plus_docs_unresolved	5	1	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:5	automatic transliteration seed; human review recommended before production glossary
Б.А. Кушнера	B.A. Kushner	people	person_name	low	4	auto_normalized_needs_review	medium	tier3_high_org_context			low	person_multiple_org_contexts_not_approved	romanization_cleanup		low	case_form_with_high_org_context	4	10	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:4	automatic transliteration seed; human review recommended before production glossary
В.В. Шмидта	V.V. Schmidt	people	person_name	low	4	auto_normalized_needs_review	medium	tier3_high_org_context			low	person_multiple_org_contexts_not_approved			low	case_form_with_high_org_context	4	8	2	ПРОЦЕСС 2-12 МАРТА 1938 г.:4	auto transliteration adjusted by common historical romanization rules
Н.А. Карева	N.A. Karev	people	person_name	low	4	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved			low	multiple_aliases_unresolved	4	7	2	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:3 | ПРОЦЕСС 2-12 МАРТА 1938 г.:1	automatic transliteration seed; human review recommended before production glossary
Е.К. Коршунова	E.K. Korshunov	people	person_name	low	3	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved			low	multiple_aliases_unresolved	4	6	2	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:3	automatic transliteration seed; human review recommended before production glossary
К.Е. Ворошилова	K.E. Voroshilov	people	person_name	low	4	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved			low	multiple_aliases_unresolved	4	6	2	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1 | ПРОЦЕСС 2-12 МАРТА 1938 г.:1 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1 | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:1	automatic transliteration seed; human review recommended before production glossary
С.Х. Варданиана	S.Kh. Vardaniana	people	person_name	low	4	auto_transliterated_needs_review	low	tier4_auto_ok			low	person_multiple_org_contexts_not_approved			low	multiple_aliases_unresolved	4	6	2	ПРОЦЕСС 2-12 МАРТА 1938 г.:3 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	automatic transliteration seed; human review recommended before production glossary
А.И. Биркенгофа	A.I. Birkengof	people	person_name	low	3	auto_normalized_needs_review	medium	tier4_auto_ok			low	person_multiple_org_contexts_not_approved	romanization_cleanup		low	multiple_aliases_unresolved	4	5	2	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:3	automatic transliteration seed; human review recommended before production glossary
А.В. Герцберга	A.V. Gertsberg	people	person_name	low	4	auto_normalized_needs_review	medium	tier4_auto_ok			low	person_multiple_org_contexts_not_approved	romanization_cleanup		low	multiple_aliases_unresolved	4	4	2	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:4	automatic transliteration seed; human review recommended before production glossary
А.А. Трояновского	A.A. Troyanovsky	people	person_name	low	4	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization					low	multiple_aliases_unresolved	4	2	2	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:4	automatic transliteration seed; human review recommended before production glossary
Д.П. Марецкого	D.P. Maretsky	people	person_name	low	3	auto_normalized_needs_review	medium	tier3_high_org_context		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved			low	case_form_with_high_org_context	3	9	1	ПРОЦЕСС 2-12 МАРТА 1938 г.:3	automatic transliteration seed; human review recommended before production glossary
П.Ф. Сапожникова	P.F. Sapozhnikov	people	person_name	low	3	auto_normalized_needs_review	medium	tier3_high_org_context		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved			low	case_form_with_high_org_context	3	9	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:3	automatic transliteration seed; human review recommended before production glossary
И.К. Федотова	I.K. Fedotov	people	person_name	low	3	auto_normalized_needs_review	medium	tier3_high_org_context		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved			low	case_form_with_high_org_context	3	8	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:3	automatic transliteration seed; human review recommended before production glossary
И.Н. Маевского	I.N. Maevsky	people	person_name	low	3	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved			low	multiple_aliases_unresolved	3	6	2	ПРОЦЕСС 2-12 МАРТА 1938 г.:2 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	automatic transliteration seed; human review recommended before production glossary
Х.Г. Раковского	Kh.G. Rakovsky	people	person_name	low	3	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved			low	multiple_aliases_unresolved	3	5	2	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:3	automatic transliteration seed; human review recommended before production glossary
Я.Н. Дробниса	Ya.N. Drobnisa	people	person_name	low	3	auto_transliterated_needs_review	low	tier4_auto_ok			low	person_multiple_org_contexts_not_approved			low	multiple_aliases_unresolved	3	5	2	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:3	automatic transliteration seed; human review recommended before production glossary
В.П. Потемкина	V.P. Potemkin	people	person_name	low	3	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved			low	multiple_aliases_unresolved	3	4	2	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:3	automatic transliteration seed; human review recommended before production glossary
М.В. Бурштейном	M.V. Burshteinom	people	person_name	low	3	auto_transliterated_needs_review	low	tier4_auto_ok			low	person_multiple_org_contexts_not_approved			low	multiple_aliases_unresolved	3	4	2	ПРОЦЕСС 2-12 МАРТА 1938 г.:3	automatic transliteration seed; human review recommended before production glossary
С.А. Ратайчаком	S.A. Rataichakom	people	person_name	low	2	auto_transliterated_needs_review	low	tier4_auto_ok			low	person_multiple_org_contexts_not_approved			low	multiple_aliases_unresolved	3	4	2	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:2	automatic transliteration seed; human review recommended before production glossary
Е.Д. Соколовой	E.D. Sokolova	people	person_name	low	2	auto_normalized_needs_review	medium	tier3_high_org_context		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved			low	case_form_with_high_org_context	2	10	1	КРЕМЛЕВСКОЕ ДЕЛО:2	automatic transliteration seed; human review recommended before production glossary
А.Д. Зайцева	A.D. Zaitsev	people	person_name	low	2	auto_normalized_needs_review	medium	tier3_high_org_context		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved			low	case_form_with_high_org_context	2	9	1	ПРОЦЕСС 2-12 МАРТА 1938 г.:1 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	automatic transliteration seed; human review recommended before production glossary
В.И. Шипихина	V.I. Shipikhin	people	person_name	low	2	auto_normalized_needs_review	medium	tier3_high_org_context		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved			low	case_form_with_high_org_context	2	9	1	КРЕМЛЕВСКОЕ ДЕЛО:2	automatic transliteration seed; human review recommended before production glossary
А.С. Соколова	A.S. Sokolov	people	person_name	low	2	auto_normalized_needs_review	medium	tier3_high_org_context		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved			low	case_form_with_high_org_context	2	8	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:2	automatic transliteration seed; human review recommended before production glossary
С.Г. Радомысльского	S.G. Radomyslsky	people	person_name	low	2	auto_normalized_needs_review	medium	tier3_high_org_context		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved			low	case_form_with_high_org_context	2	8	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	automatic transliteration seed; human review recommended before production glossary
Н.В. Комогорова	N.V. Komogorov	people	person_name	low	1	auto_normalized_needs_review	medium	tier3_high_org_context		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved			low	case_form_with_high_org_context	1	9	1	РАЗНЫЕ ДОКУМЕНТЫ:1	automatic transliteration seed; human review recommended before production glossary
А.Л. Леонтьева	A.L. Leontev	people	person_name	low	1	auto_normalized_needs_review	medium	tier3_high_org_context		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved			low	case_form_with_high_org_context	1	8	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	automatic transliteration seed; human review recommended before production glossary
В.П. Второва	V.P. Vtorov	people	person_name	low	1	auto_normalized_needs_review	medium	tier3_high_org_context		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved			low	case_form_with_high_org_context	1	8	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	automatic transliteration seed; human review recommended before production glossary
