current_path	proposed_path	status	notes
.gitignore	.gitignore	skipped	preserved at root
README.md	README.md	skipped	preserved at root
apply-showtrials-auto-person-aliases.py	scripts/e-semantic-layer/apply-showtrials-auto-person-aliases.py	moved	moved by pathlib.Path.rename
apply-showtrials-known-truncated-person-aliases.py	scripts/e-semantic-layer/apply-showtrials-known-truncated-person-aliases.py	moved	moved by pathlib.Path.rename
apply-showtrials-person-alias-decisions.py	scripts/e-semantic-layer/apply-showtrials-person-alias-decisions.py	moved	moved by pathlib.Path.rename
audit-showtrials-structural-samples-d2-1.py	scripts/d-structural-chunking/audit-showtrials-structural-samples-d2-1.py	moved	moved by pathlib.Path.rename
build-showtrials-canonical-people.py	scripts/e-semantic-layer/build-showtrials-canonical-people.py	moved	moved by pathlib.Path.rename
build-showtrials-literal-people-index.py	scripts/e-semantic-layer/build-showtrials-literal-people-index.py	moved	moved by pathlib.Path.rename
build-showtrials-organization-families.py	scripts/e-semantic-layer/build-showtrials-organization-families.py	moved	moved by pathlib.Path.rename
build-showtrials-organization-family-document-matrix.py	scripts/e-semantic-layer/build-showtrials-organization-family-document-matrix.py	moved	moved by pathlib.Path.rename
build-showtrials-organization-hierarchy.py	scripts/e-semantic-layer/build-showtrials-organization-hierarchy.py	moved	moved by pathlib.Path.rename
build-showtrials-organization-index.py	scripts/e-semantic-layer/build-showtrials-organization-index.py	moved	moved by pathlib.Path.rename
build-showtrials-people-index.py	scripts/e-semantic-layer/build-showtrials-people-index.py	moved	moved by pathlib.Path.rename
build-showtrials-person-centrality.py	scripts/e-semantic-layer/build-showtrials-person-centrality.py	moved	moved by pathlib.Path.rename
build-showtrials-person-institution-profiles-v2.py	scripts/e-semantic-layer/build-showtrials-person-institution-profiles-v2.py	moved	moved by pathlib.Path.rename
build-showtrials-person-institution-profiles.py	scripts/e-semantic-layer/build-showtrials-person-institution-profiles.py	moved	moved by pathlib.Path.rename
build-showtrials-person-organization-matrix.py	scripts/e-semantic-layer/build-showtrials-person-organization-matrix.py	moved	moved by pathlib.Path.rename
build-showtrials-positions.py	scripts/e-semantic-layer/build-showtrials-positions.py	moved	moved by pathlib.Path.rename
build-showtrials-process-layer.py	scripts/e-semantic-layer/build-showtrials-process-layer.py	moved	moved by pathlib.Path.rename
build-showtrials-process-profiles.py	scripts/e-semantic-layer/build-showtrials-process-profiles.py	moved	moved by pathlib.Path.rename
build-showtrials-roles-v2.py	scripts/e-semantic-layer/build-showtrials-roles-v2.py	moved	moved by pathlib.Path.rename
build-showtrials-translation-glossary-seeds-v1.py	scripts/g-glossary/build-showtrials-translation-glossary-seeds-v1.py	moved	moved by pathlib.Path.rename
canonicalize-showtrials-translation-glossary-g4.py	scripts/g-glossary/canonicalize-showtrials-translation-glossary-g4.py	moved	moved by pathlib.Path.rename
canonicalize-showtrials-translation-glossary-v1.py	scripts/g-glossary/canonicalize-showtrials-translation-glossary-v1.py	moved	moved by pathlib.Path.rename
compare-showtrials-document-types-v1-v2.py	scripts/c-catalog-taxonomy/compare-showtrials-document-types-v1-v2.py	moved	moved by pathlib.Path.rename
compare-showtrials-document-types-v2-v3.py	scripts/c-catalog-taxonomy/compare-showtrials-document-types-v2-v3.py	moved	moved by pathlib.Path.rename
compare-showtrials-document-types-v3-v4.py	scripts/c-catalog-taxonomy/compare-showtrials-document-types-v3-v4.py	moved	moved by pathlib.Path.rename
crawl-urls.txt	reports/a-extraction/crawl-urls.txt	moved	moved by pathlib.Path.rename
diagnose-showtrials-attachment-taxonomy-d3-1a.py	scripts/d-structural-chunking/diagnose-showtrials-attachment-taxonomy-d3-1a.py	moved	moved by pathlib.Path.rename
diagnose-showtrials-attachment-taxonomy-refinement-d3-1b.py	scripts/d-structural-chunking/diagnose-showtrials-attachment-taxonomy-refinement-d3-1b.py	moved	moved by pathlib.Path.rename
diagnose-showtrials-author-audit.py	scripts/c-catalog-taxonomy/diagnose-showtrials-author-audit.py	moved	moved by pathlib.Path.rename
diagnose-showtrials-category-tree.py	scripts/c-catalog-taxonomy/diagnose-showtrials-category-tree.py	moved	moved by pathlib.Path.rename
diagnose-showtrials-corpus-inventory.py	scripts/c-catalog-taxonomy/diagnose-showtrials-corpus-inventory.py	moved	moved by pathlib.Path.rename
diagnose-showtrials-corpus-sizing-chunking-d1.py	scripts/d-structural-chunking/diagnose-showtrials-corpus-sizing-chunking-d1.py	moved	moved by pathlib.Path.rename
diagnose-showtrials-corpus-statistics.py	scripts/c-catalog-taxonomy/diagnose-showtrials-corpus-statistics.py	moved	moved by pathlib.Path.rename
diagnose-showtrials-date-audit.py	scripts/c-catalog-taxonomy/diagnose-showtrials-date-audit.py	moved	moved by pathlib.Path.rename
diagnose-showtrials-document-collections.py	scripts/c-catalog-taxonomy/diagnose-showtrials-document-collections.py	moved	moved by pathlib.Path.rename
diagnose-showtrials-document-index.py	scripts/c-catalog-taxonomy/diagnose-showtrials-document-index.py	moved	moved by pathlib.Path.rename
diagnose-showtrials-document-types-v2.py	scripts/c-catalog-taxonomy/diagnose-showtrials-document-types-v2.py	moved	moved by pathlib.Path.rename
diagnose-showtrials-document-types-v3.py	scripts/c-catalog-taxonomy/diagnose-showtrials-document-types-v3.py	moved	moved by pathlib.Path.rename
diagnose-showtrials-document-types-v4.py	scripts/c-catalog-taxonomy/diagnose-showtrials-document-types-v4.py	moved	moved by pathlib.Path.rename
diagnose-showtrials-document-types.py	scripts/c-catalog-taxonomy/diagnose-showtrials-document-types.py	moved	moved by pathlib.Path.rename
diagnose-showtrials-entity-anomalies.py	scripts/e-semantic-layer/diagnose-showtrials-entity-anomalies.py	moved	moved by pathlib.Path.rename
diagnose-showtrials-entity-cleanup.py	scripts/e-semantic-layer/diagnose-showtrials-entity-cleanup.py	moved	moved by pathlib.Path.rename
diagnose-showtrials-entity-inventory.py	scripts/e-semantic-layer/diagnose-showtrials-entity-inventory.py	moved	moved by pathlib.Path.rename
diagnose-showtrials-master-catalog.py	scripts/c-catalog-taxonomy/diagnose-showtrials-master-catalog.py	moved	moved by pathlib.Path.rename
diagnose-showtrials-page-hierarchy.py	scripts/c-catalog-taxonomy/diagnose-showtrials-page-hierarchy.py	moved	moved by pathlib.Path.rename
diagnose-showtrials-page-links.py	scripts/c-catalog-taxonomy/diagnose-showtrials-page-links.py	moved	moved by pathlib.Path.rename
diagnose-showtrials-person-aliases.py	scripts/e-semantic-layer/diagnose-showtrials-person-aliases.py	moved	moved by pathlib.Path.rename
diagnose-showtrials-person-normalization.py	scripts/e-semantic-layer/diagnose-showtrials-person-normalization.py	moved	moved by pathlib.Path.rename
diagnose-showtrials-post-metadata.py	scripts/c-catalog-taxonomy/diagnose-showtrials-post-metadata.py	moved	moved by pathlib.Path.rename
diagnose-showtrials-search-corpus.py	scripts/b-json-export-search/diagnose-showtrials-search-corpus.py	moved	moved by pathlib.Path.rename
diagnose-showtrials-semantic-baseline.sh	scripts/e-semantic-layer/diagnose-showtrials-semantic-baseline.sh	moved	moved by pathlib.Path.rename
diagnose-showtrials-semantic-layer.py	scripts/e-semantic-layer/diagnose-showtrials-semantic-layer.py	moved	moved by pathlib.Path.rename
diagnose-showtrials-special-report-packages-d3-1.py	scripts/d-structural-chunking/diagnose-showtrials-special-report-packages-d3-1.py	moved	moved by pathlib.Path.rename
diagnose-showtrials-structural-chunking-d2.py	scripts/d-structural-chunking/diagnose-showtrials-structural-chunking-d2.py	moved	moved by pathlib.Path.rename
diagnose-showtrials-structural-samples-d2-2.py	scripts/d-structural-chunking/diagnose-showtrials-structural-samples-d2-2.py	moved	moved by pathlib.Path.rename
diagnose-showtrials-tag-process-audit.py	scripts/e-semantic-layer/diagnose-showtrials-tag-process-audit.py	moved	moved by pathlib.Path.rename
diagnose-showtrials-taxonomy-terms.py	scripts/c-catalog-taxonomy/diagnose-showtrials-taxonomy-terms.py	moved	moved by pathlib.Path.rename
diagnose-showtrials-taxonomy.py	scripts/c-catalog-taxonomy/diagnose-showtrials-taxonomy.py	moved	moved by pathlib.Path.rename
diagnose-showtrials-text-cleanliness.py	scripts/c-catalog-taxonomy/diagnose-showtrials-text-cleanliness.py	moved	moved by pathlib.Path.rename
diagnose-showtrials-title-entities.py	scripts/e-semantic-layer/diagnose-showtrials-title-entities.py	moved	moved by pathlib.Path.rename
diagnose-showtrials-translation-cost.py	scripts/t-translation-planning/diagnose-showtrials-translation-cost.py	moved	moved by pathlib.Path.rename
diagnose-showtrials-translation-glossary-freeze-readiness.py	scripts/g-glossary/diagnose-showtrials-translation-glossary-freeze-readiness.py	moved	moved by pathlib.Path.rename
diagnose-showtrials-truncated-persons.py	scripts/e-semantic-layer/diagnose-showtrials-truncated-persons.py	moved	moved by pathlib.Path.rename
diagnose-showtrials-unmerged-persons.py	scripts/e-semantic-layer/diagnose-showtrials-unmerged-persons.py	moved	moved by pathlib.Path.rename
doc-8863.md	docs/a-extraction/doc-8863.md	moved	moved by pathlib.Path.rename
doc-8863.txt	reports/a-extraction/doc-8863.txt	moved	moved by pathlib.Path.rename
enrich-showtrials-translation-glossary-g3.py	scripts/g-glossary/enrich-showtrials-translation-glossary-g3.py	moved	moved by pathlib.Path.rename
finalize-showtrials-translation-glossary-g4-1.py	scripts/g-glossary/finalize-showtrials-translation-glossary-g4-1.py	moved	moved by pathlib.Path.rename
pages-page-1.json	data/b-json-export-search/pages-page-1.json	moved	moved by pathlib.Path.rename
plan-showtrials-chunking-blueprint-v1.py	scripts/d-structural-chunking/plan-showtrials-chunking-blueprint-v1.py	moved	moved by pathlib.Path.rename
plan-showtrials-chunking-blueprint-v1_1.py	scripts/d-structural-chunking/plan-showtrials-chunking-blueprint-v1_1.py	moved	moved by pathlib.Path.rename
plan-showtrials-translation-profiles-v1.py	scripts/t-translation-planning/plan-showtrials-translation-profiles-v1.py	moved	moved by pathlib.Path.rename
posts-page-1.json	data/b-json-export-search/posts-page-1.json	moved	moved by pathlib.Path.rename
radek-results.tsv	data/b-json-export-search/radek-results.tsv	moved	moved by pathlib.Path.rename
repo-current-filelist.txt	data/r-governance/inventory/repo-current-filelist.txt	moved	moved by pathlib.Path.rename
repo-file-metadata.tsv	data/r-governance/inventory/repo-file-metadata.tsv	moved	moved by pathlib.Path.rename
review-showtrials-person-aliases.py	scripts/e-semantic-layer/review-showtrials-person-aliases.py	moved	moved by pathlib.Path.rename
review-showtrials-truncated-persons.py	scripts/e-semantic-layer/review-showtrials-truncated-persons.py	moved	moved by pathlib.Path.rename
search-showtrials.py	scripts/b-json-export-search/search-showtrials.py	moved	moved by pathlib.Path.rename
showtrials-audit.py	scripts/a-extraction/showtrials-audit.py	moved	moved by pathlib.Path.rename
showtrials-doc.py	scripts/b-json-export-search/showtrials-doc.py	moved	moved by pathlib.Path.rename
showtrials-export-texts.py	scripts/b-json-export-search/showtrials-export-texts.py	moved	moved by pathlib.Path.rename
showtrials-family-stats.py	scripts/e-semantic-layer/showtrials-family-stats.py	moved	moved by pathlib.Path.rename
showtrials-pages-inventory.tsv	data/c-catalog-taxonomy/showtrials-pages-inventory.tsv	moved	moved by pathlib.Path.rename
showtrials-posts-inventory.tsv	data/c-catalog-taxonomy/showtrials-posts-inventory.tsv	moved	moved by pathlib.Path.rename
showtrials-search-v2.py	scripts/b-json-export-search/showtrials-search-v2.py	moved	moved by pathlib.Path.rename
showtrials-search.py	scripts/b-json-export-search/showtrials-search.py	moved	moved by pathlib.Path.rename
showtrials-stats.py	scripts/a-extraction/showtrials-stats.py	moved	moved by pathlib.Path.rename
showtrials-timeline.py	scripts/c-catalog-taxonomy/showtrials-timeline.py	moved	moved by pathlib.Path.rename
showtrials_attachment_taxonomy_crosswalk_d3_1a.tsv	data/d-structural-chunking/showtrials_attachment_taxonomy_crosswalk_d3_1a.tsv	moved	moved by pathlib.Path.rename
showtrials_attachment_taxonomy_d3_1a.tsv	data/d-structural-chunking/showtrials_attachment_taxonomy_d3_1a.tsv	moved	moved by pathlib.Path.rename
showtrials_attachment_taxonomy_d3_1a_report.txt	reports/d-structural-chunking/showtrials_attachment_taxonomy_d3_1a_report.txt	moved	moved by pathlib.Path.rename
showtrials_attachment_taxonomy_d3_1a_validation.tsv	data/d-structural-chunking/showtrials_attachment_taxonomy_d3_1a_validation.tsv	moved	moved by pathlib.Path.rename
showtrials_attachment_taxonomy_d3_1a_validation_report.txt	reports/d-structural-chunking/showtrials_attachment_taxonomy_d3_1a_validation_report.txt	moved	moved by pathlib.Path.rename
showtrials_attachment_taxonomy_d3_1b.tsv	data/d-structural-chunking/showtrials_attachment_taxonomy_d3_1b.tsv	moved	moved by pathlib.Path.rename
showtrials_attachment_taxonomy_refinement_d3_1b.tsv	data/d-structural-chunking/showtrials_attachment_taxonomy_refinement_d3_1b.tsv	moved	moved by pathlib.Path.rename
showtrials_attachment_taxonomy_refinement_d3_1b_report.txt	reports/d-structural-chunking/showtrials_attachment_taxonomy_refinement_d3_1b_report.txt	moved	moved by pathlib.Path.rename
showtrials_attachment_taxonomy_refinement_d3_1b_validation.tsv	data/d-structural-chunking/showtrials_attachment_taxonomy_refinement_d3_1b_validation.tsv	moved	moved by pathlib.Path.rename
showtrials_attachment_taxonomy_refinement_d3_1b_validation_report.txt	reports/d-structural-chunking/showtrials_attachment_taxonomy_refinement_d3_1b_validation_report.txt	moved	moved by pathlib.Path.rename
showtrials_author_audit.tsv	data/c-catalog-taxonomy/showtrials_author_audit.tsv	moved	moved by pathlib.Path.rename
showtrials_author_audit_report.txt	reports/c-catalog-taxonomy/showtrials_author_audit_report.txt	moved	moved by pathlib.Path.rename
showtrials_canonical_people.tsv	data/e-semantic-layer/showtrials_canonical_people.tsv	moved	moved by pathlib.Path.rename
showtrials_canonical_people_report.txt	reports/e-semantic-layer/showtrials_canonical_people_report.txt	moved	moved by pathlib.Path.rename
showtrials_canonical_person_documents.tsv	data/e-semantic-layer/showtrials_canonical_person_documents.tsv	moved	moved by pathlib.Path.rename
showtrials_canonical_person_pairs.tsv	data/e-semantic-layer/showtrials_canonical_person_pairs.tsv	moved	moved by pathlib.Path.rename
showtrials_categories.json	data/c-catalog-taxonomy/showtrials_categories.json	moved	moved by pathlib.Path.rename
showtrials_category_tree.tsv	data/c-catalog-taxonomy/showtrials_category_tree.tsv	moved	moved by pathlib.Path.rename
showtrials_category_tree_report.txt	reports/c-catalog-taxonomy/showtrials_category_tree_report.txt	moved	moved by pathlib.Path.rename
showtrials_chunking_blueprint_v1.tsv	data/d-structural-chunking/showtrials_chunking_blueprint_v1.tsv	moved	moved by pathlib.Path.rename
showtrials_chunking_blueprint_v1_1.tsv	data/d-structural-chunking/showtrials_chunking_blueprint_v1_1.tsv	moved	moved by pathlib.Path.rename
showtrials_chunking_blueprint_v1_1_report.txt	reports/d-structural-chunking/showtrials_chunking_blueprint_v1_1_report.txt	moved	moved by pathlib.Path.rename
showtrials_chunking_blueprint_v1_1_validation.tsv	data/d-structural-chunking/showtrials_chunking_blueprint_v1_1_validation.tsv	moved	moved by pathlib.Path.rename
showtrials_chunking_blueprint_v1_1_validation_report.txt	reports/d-structural-chunking/showtrials_chunking_blueprint_v1_1_validation_report.txt	moved	moved by pathlib.Path.rename
showtrials_chunking_blueprint_v1_report.txt	reports/d-structural-chunking/showtrials_chunking_blueprint_v1_report.txt	moved	moved by pathlib.Path.rename
showtrials_chunking_blueprint_v1_validation.tsv	data/d-structural-chunking/showtrials_chunking_blueprint_v1_validation.tsv	moved	moved by pathlib.Path.rename
showtrials_chunking_blueprint_v1_validation_report.txt	reports/d-structural-chunking/showtrials_chunking_blueprint_v1_validation_report.txt	moved	moved by pathlib.Path.rename
showtrials_chunking_policy_recommendations_d1.tsv	data/d-structural-chunking/showtrials_chunking_policy_recommendations_d1.tsv	moved	moved by pathlib.Path.rename
showtrials_chunking_policy_v1_1.txt	reports/d-structural-chunking/showtrials_chunking_policy_v1_1.txt	moved	moved by pathlib.Path.rename
showtrials_collection_inventory.tsv	data/c-catalog-taxonomy/showtrials_collection_inventory.tsv	moved	moved by pathlib.Path.rename
showtrials_corpus_audit_documents.tsv	data/c-catalog-taxonomy/showtrials_corpus_audit_documents.tsv	moved	moved by pathlib.Path.rename
showtrials_corpus_audit_report.txt	reports/c-catalog-taxonomy/showtrials_corpus_audit_report.txt	moved	moved by pathlib.Path.rename
showtrials_corpus_audit_summary.tsv	data/c-catalog-taxonomy/showtrials_corpus_audit_summary.tsv	moved	moved by pathlib.Path.rename
showtrials_corpus_inventory_report.txt	reports/c-catalog-taxonomy/showtrials_corpus_inventory_report.txt	moved	moved by pathlib.Path.rename
showtrials_corpus_largest_documents.tsv	data/c-catalog-taxonomy/showtrials_corpus_largest_documents.tsv	moved	moved by pathlib.Path.rename
showtrials_corpus_sizing_by_document_d1.tsv	data/t-translation-planning/showtrials_corpus_sizing_by_document_d1.tsv	moved	moved by pathlib.Path.rename
showtrials_corpus_sizing_by_document_type_d1.tsv	data/t-translation-planning/showtrials_corpus_sizing_by_document_type_d1.tsv	moved	moved by pathlib.Path.rename
showtrials_corpus_sizing_by_process_d1.tsv	data/t-translation-planning/showtrials_corpus_sizing_by_process_d1.tsv	moved	moved by pathlib.Path.rename
showtrials_corpus_sizing_chunking_d1_report.txt	reports/d-structural-chunking/showtrials_corpus_sizing_chunking_d1_report.txt	moved	moved by pathlib.Path.rename
showtrials_corpus_sizing_chunking_d1_validation.tsv	data/d-structural-chunking/showtrials_corpus_sizing_chunking_d1_validation.tsv	moved	moved by pathlib.Path.rename
showtrials_corpus_sizing_chunking_d1_validation_report.txt	reports/d-structural-chunking/showtrials_corpus_sizing_chunking_d1_validation_report.txt	moved	moved by pathlib.Path.rename
showtrials_corpus_smallest_documents.tsv	data/c-catalog-taxonomy/showtrials_corpus_smallest_documents.tsv	moved	moved by pathlib.Path.rename
showtrials_corpus_statistics_by_collection.tsv	data/c-catalog-taxonomy/showtrials_corpus_statistics_by_collection.tsv	moved	moved by pathlib.Path.rename
showtrials_corpus_statistics_by_process.tsv	data/e-semantic-layer/showtrials_corpus_statistics_by_process.tsv	moved	moved by pathlib.Path.rename
showtrials_corpus_statistics_by_tag.tsv	data/c-catalog-taxonomy/showtrials_corpus_statistics_by_tag.tsv	moved	moved by pathlib.Path.rename
showtrials_corpus_statistics_overview.tsv	data/c-catalog-taxonomy/showtrials_corpus_statistics_overview.tsv	moved	moved by pathlib.Path.rename
showtrials_corpus_statistics_report.txt	reports/c-catalog-taxonomy/showtrials_corpus_statistics_report.txt	moved	moved by pathlib.Path.rename
showtrials_date_audit_report.txt	reports/c-catalog-taxonomy/showtrials_date_audit_report.txt	moved	moved by pathlib.Path.rename
showtrials_date_outliers.tsv	data/c-catalog-taxonomy/showtrials_date_outliers.tsv	moved	moved by pathlib.Path.rename
showtrials_dates_by_month.tsv	data/c-catalog-taxonomy/showtrials_dates_by_month.tsv	moved	moved by pathlib.Path.rename
showtrials_dates_by_year.tsv	data/c-catalog-taxonomy/showtrials_dates_by_year.tsv	moved	moved by pathlib.Path.rename
showtrials_document_collections.tsv	data/c-catalog-taxonomy/showtrials_document_collections.tsv	moved	moved by pathlib.Path.rename
showtrials_document_collections_report.txt	reports/c-catalog-taxonomy/showtrials_document_collections_report.txt	moved	moved by pathlib.Path.rename
showtrials_document_index.tsv	data/c-catalog-taxonomy/showtrials_document_index.tsv	moved	moved by pathlib.Path.rename
showtrials_document_index_report.txt	reports/c-catalog-taxonomy/showtrials_document_index_report.txt	moved	moved by pathlib.Path.rename
showtrials_document_type_summary.tsv	data/c-catalog-taxonomy/showtrials_document_type_summary.tsv	moved	moved by pathlib.Path.rename
showtrials_document_type_summary_v2.tsv	data/c-catalog-taxonomy/showtrials_document_type_summary_v2.tsv	moved	moved by pathlib.Path.rename
showtrials_document_type_summary_v3.tsv	data/c-catalog-taxonomy/showtrials_document_type_summary_v3.tsv	moved	moved by pathlib.Path.rename
showtrials_document_type_summary_v4.tsv	data/c-catalog-taxonomy/showtrials_document_type_summary_v4.tsv	moved	moved by pathlib.Path.rename
showtrials_document_type_unknown_prefixes_v2.tsv	data/c-catalog-taxonomy/showtrials_document_type_unknown_prefixes_v2.tsv	moved	moved by pathlib.Path.rename
showtrials_document_type_unknown_prefixes_v3.tsv	data/c-catalog-taxonomy/showtrials_document_type_unknown_prefixes_v3.tsv	moved	moved by pathlib.Path.rename
showtrials_document_type_unknown_prefixes_v4.tsv	data/c-catalog-taxonomy/showtrials_document_type_unknown_prefixes_v4.tsv	moved	moved by pathlib.Path.rename
showtrials_document_type_v1_v2_changes.tsv	data/c-catalog-taxonomy/showtrials_document_type_v1_v2_changes.tsv	moved	moved by pathlib.Path.rename
showtrials_document_type_v1_v2_compare_report.txt	reports/c-catalog-taxonomy/showtrials_document_type_v1_v2_compare_report.txt	moved	moved by pathlib.Path.rename
showtrials_document_type_v2_v3_changes.tsv	data/c-catalog-taxonomy/showtrials_document_type_v2_v3_changes.tsv	moved	moved by pathlib.Path.rename
showtrials_document_type_v2_v3_compare_report.txt	reports/c-catalog-taxonomy/showtrials_document_type_v2_v3_compare_report.txt	moved	moved by pathlib.Path.rename
showtrials_document_type_v3_v4_changes.tsv	data/c-catalog-taxonomy/showtrials_document_type_v3_v4_changes.tsv	moved	moved by pathlib.Path.rename
showtrials_document_type_v3_v4_compare_report.txt	reports/c-catalog-taxonomy/showtrials_document_type_v3_v4_compare_report.txt	moved	moved by pathlib.Path.rename
showtrials_document_types.tsv	data/c-catalog-taxonomy/showtrials_document_types.tsv	moved	moved by pathlib.Path.rename
showtrials_document_types_report.txt	reports/c-catalog-taxonomy/showtrials_document_types_report.txt	moved	moved by pathlib.Path.rename
showtrials_document_types_v2.tsv	data/c-catalog-taxonomy/showtrials_document_types_v2.tsv	moved	moved by pathlib.Path.rename
showtrials_document_types_v2_report.txt	reports/c-catalog-taxonomy/showtrials_document_types_v2_report.txt	moved	moved by pathlib.Path.rename
showtrials_document_types_v2_validation.tsv	data/c-catalog-taxonomy/showtrials_document_types_v2_validation.tsv	moved	moved by pathlib.Path.rename
showtrials_document_types_v2_validation_report.txt	reports/c-catalog-taxonomy/showtrials_document_types_v2_validation_report.txt	moved	moved by pathlib.Path.rename
showtrials_document_types_v3.tsv	data/c-catalog-taxonomy/showtrials_document_types_v3.tsv	moved	moved by pathlib.Path.rename
showtrials_document_types_v3_report.txt	reports/c-catalog-taxonomy/showtrials_document_types_v3_report.txt	moved	moved by pathlib.Path.rename
showtrials_document_types_v3_validation.tsv	data/c-catalog-taxonomy/showtrials_document_types_v3_validation.tsv	moved	moved by pathlib.Path.rename
showtrials_document_types_v3_validation_report.txt	reports/c-catalog-taxonomy/showtrials_document_types_v3_validation_report.txt	moved	moved by pathlib.Path.rename
showtrials_document_types_v4.tsv	data/c-catalog-taxonomy/showtrials_document_types_v4.tsv	moved	moved by pathlib.Path.rename
showtrials_document_types_v4_report.txt	reports/c-catalog-taxonomy/showtrials_document_types_v4_report.txt	moved	moved by pathlib.Path.rename
showtrials_document_types_v4_validation.tsv	data/c-catalog-taxonomy/showtrials_document_types_v4_validation.tsv	moved	moved by pathlib.Path.rename
showtrials_document_types_v4_validation_report.txt	reports/c-catalog-taxonomy/showtrials_document_types_v4_validation_report.txt	moved	moved by pathlib.Path.rename
showtrials_entities_categories.tsv	data/e-semantic-layer/showtrials_entities_categories.tsv	moved	moved by pathlib.Path.rename
showtrials_entities_collections.tsv	data/e-semantic-layer/showtrials_entities_collections.tsv	moved	moved by pathlib.Path.rename
showtrials_entities_processes.tsv	data/e-semantic-layer/showtrials_entities_processes.tsv	moved	moved by pathlib.Path.rename
showtrials_entities_tags.tsv	data/e-semantic-layer/showtrials_entities_tags.tsv	moved	moved by pathlib.Path.rename
showtrials_entity_anomalies_report.txt	reports/e-semantic-layer/showtrials_entity_anomalies_report.txt	moved	moved by pathlib.Path.rename
showtrials_entity_candidates.tsv	data/e-semantic-layer/showtrials_entity_candidates.tsv	moved	moved by pathlib.Path.rename
showtrials_entity_cleanup_report.txt	reports/e-semantic-layer/showtrials_entity_cleanup_report.txt	moved	moved by pathlib.Path.rename
showtrials_entity_inventory_report.txt	reports/e-semantic-layer/showtrials_entity_inventory_report.txt	moved	moved by pathlib.Path.rename
showtrials_family_process_matrix.tsv	data/e-semantic-layer/showtrials_family_process_matrix.tsv	moved	moved by pathlib.Path.rename
showtrials_family_process_profiles.tsv	data/e-semantic-layer/showtrials_family_process_profiles.tsv	moved	moved by pathlib.Path.rename
showtrials_google_translate_glossary_ru_en_v1.tsv	data/g-glossary/showtrials_google_translate_glossary_ru_en_v1.tsv	moved	moved by pathlib.Path.rename
showtrials_known_truncated_aliases_report.txt	reports/e-semantic-layer/showtrials_known_truncated_aliases_report.txt	moved	moved by pathlib.Path.rename
showtrials_largest_documents.tsv	data/c-catalog-taxonomy/showtrials_largest_documents.tsv	moved	moved by pathlib.Path.rename
showtrials_literal_people.tsv	data/e-semantic-layer/showtrials_literal_people.tsv	moved	moved by pathlib.Path.rename
showtrials_literal_people_report.txt	reports/e-semantic-layer/showtrials_literal_people_report.txt	moved	moved by pathlib.Path.rename
